"term","definition","source","language","country","normalized"
"Tahliah","Tahliah is a very sweet and kind girl who loves animals and shows a true genuine attitude to supporting others. She is very lively and energetic brightening every room she walks into. She often has a very cute voice and is graceful like an angel.  She gets scared by roadmen but is normally quite [comfortable] around guys. Guys might even think that she's into them but really and truly she is simply [compassionate] with whom she considers herself close to.  If [you know] a Tahliah, you are incredibly lucky!","UrbanDictionary","en","US","tahliah"
"Sleepweight","A word to describe a person who [can't hack] an [all nighter] or is constantly tired. Phrase can be used to mock someone for [going to bed] early.","UrbanDictionary","en","US","sleepweight"
"Bonky","Other way of [saying] 4 PM, like how [noon] [means] 12PM.","UrbanDictionary","en","US","bonky"
"Sharif","it is used in [the netherlands] to describe a xqc-watcher / [league] [player].","UrbanDictionary","en","US","sharif"
"Dalvin","Dalvin is the definition of a god, his level of charm is extraterestial, you ain't [fucking with] his shit. He upholds himself to a high standard; and so he does with everyone in his life. He is worth it, and wants to know if you're worth it too. He holds talents of humour, intelligence and great sexual stamina. The ultimate soul mate, he makes you feel deep within yourself. He aims to acquire [understanding], and holds the most willing insiative to purse it, which is why his [relationships] work out. Loyal, when he is commited. Very affectionate, however he has split personalities so he is often misunderstood. He is constantly evolving, give him time. But he will love you like no other, emotionally and physically. Keep him, he's dope af","UrbanDictionary","en","US","dalvin"
"rocktacious","adj.  [Excellent], fantastic.    Derived from the verb ""to rock"" (to be excellent). Appending [the common] English suffix ""acious,"" the word becomes an adjective meaning roughly ""the quality of one who rocks.""  May also be used as an [interjection].","UrbanDictionary","en","US","rocktacious"
"sms","[Basically] another [alternative] for kms ([killing myself]) This one stands for slitting myself","UrbanDictionary","en","US","sms"
"Genuine Definition","[Something] [you won't] find on [this site].","UrbanDictionary","en","US","genuinedefinition"
"No TJ No BJ","Refers to the [Call of Duty player] Thomas Haly (TJHaly). [Basically], this phrase doesnt have any real significance but its [funny as fuck]. I actually created this phrase on Zoomaa's ""The Flank"" podcast live stream lmao.","UrbanDictionary","en","US","notjnobj"
"Candledicks","A [candle] shaped like [a dick] that will sit on your mantelpiece. To be burned during ‘[special] occasions’","UrbanDictionary","en","US","candledicks"
"Thelia","an [amazing person] with no [self control]","UrbanDictionary","en","US","thelia"
"buv","[The word] used by chavs or a Roadman who cannot [pronounce] their R's [properly].","UrbanDictionary","en","US","buv"
"Reed","The most caring person ever, if there's a creeping suspicion of him thinking your sad or upset hill ask and comfort you until your better. He has the best [sense of humor] ever and will make you laugh when your about to cry. He will love you with all his heart and come up with the best nicknames ever. you'll never feel more loved by anyone, and he will always put you first. And not to mention he's pretty cute, I mean [pretty hot] sorry. He's just not like anyone els. He's just the best and no one will change yer mind. He is also [absolutely] adorable, he has beach blond hauir with bright blue eyes that you get caught in. Hes also really tall so you got to stare up at him, (but its pretty cute ngl) Everyone want him to like litterly everyone wants him. Reed is a genuine nice amazing guy with the best most perfect persinality.","UrbanDictionary","en","US","reed"
"An inside joke","A joke that is only [understood] by a group of people and isn't [allowed] on [urban Dictionary]","UrbanDictionary","en","US","aninsidejoke"
"Floof","A [fucking] sham  A [phony] ass  A chimpining mofo A [crank ass bitch]","UrbanDictionary","en","US","floof"
"november 10","the [hottest] [dude] [alive] was born","UrbanDictionary","en","US","november10"
"Bed Shitters Ball","When forced by [a friend] to attend [a party] or event [you know] will suck","UrbanDictionary","en","US","bedshittersball"
"jeezet blur","This is by far the Best Shaders for PVP EVER. I'm dead serious. Just download JeezetBlur Dude it makes you a total ChadJeezetBlur is the Cure. This is all on the [Hypixel Skywars]. [Minecraft Shaders] PVP, The BEST Shader For PVP... (ft. Evakz) are all videos that came before me. I know. These are [definitely] the best PVP shaders 1.8.9. THE Best Minecraft shader for PVP.","UrbanDictionary","en","US","jeezetblur"
"Full Turd Kernel","1. A high ranking Officer ([Full Bird Colonel]) in the Military or member of Management who is an asshole or would be considered a [piece of shit] by majority vote.  2. To completely crap out, break or fail.  3. A remarkable fecal [accomplishment].","UrbanDictionary","en","US","fullturdkernel"
"lover fever","Lover fever is having a [strong] urge to be in a [romantic] [relationship].","UrbanDictionary","en","US","loverfever"
"swac","Acronym- -shoulda' -worn -a -condom","UrbanDictionary","en","US","swac"
"Amstitute","A girl who has not yet achieved a [professional] level of [sleeping with] men for money. A girl who hasn't quite gotten the knack of [the oldest profession].","UrbanDictionary","en","US","amstitute"
"ford f2fitty super doody","How them [country] bois [pronounce] they [trucks]","UrbanDictionary","en","US","fordf2fittysuperdoody"
"lesbian","a woman who uses a fake dick when she could just go out and get [the real thing]. why use a dildo or vibrator when you could just go out there and find a [perfectly] good dick? lesbians are just straight women who are [faking it] because they want to be different.","UrbanDictionary","en","US","lesbian"
"hwy","Can be [a short] for [highway]","UrbanDictionary","en","US","hwy"
"anal reluctant","refuses [to let] [anything] enter [the anus].","UrbanDictionary","en","US","analreluctant"
"Penguinie","It is a [baby penguin]. That is [adorable] but also fighsty.","UrbanDictionary","en","US","penguinie"
"Malestruation","It is the [alternative] to female [menstruation] but for men, or rather, male [menstruation].","UrbanDictionary","en","US","malestruation"
"Wood plank wench","[the definition] in which the one being called a wood plank wench represents [all that is] good holy and incredibly sexy. The epitome of a wood plank wench in its finest (and hottest form) would be a girl named Emily. One look in her eyes and one glance at her amazing posterior will reduce even the most prude men into nothing [more than] steaming puddles of pure hornyness.","UrbanDictionary","en","US","woodplankwench"
"Arachnointerioculophobia","[The fear] of having [spiders] [in your eye].  Just gross.","UrbanDictionary","en","US","arachnointerioculophobia"
"Lohl","[Love] of his/ her [life]","UrbanDictionary","en","US","lohl"
"Yosemite Sam","When you go to [pound town] and leave [your girl] walking around like [Yosemite] Sam","UrbanDictionary","en","US","yosemitesam"
"National Twerk Day","[National Twerking Day]!  [National Twerking Day] is on May 16. No matter what you must twerk on anything and [everything]! Have fun twerking.","UrbanDictionary","en","US","nationaltwerkday"
"pookie","p- perseverence o- optismism o- [ovulating] k- kharismatic [leader] i- ingenius e- [electronic]","UrbanDictionary","en","US","pookie"
"Creeper Zach","Creepy lumberjack who sports the ugliest beard known to man. He possesses silly hats, a gold scarf, chops that make people want to hang themselves, and a fetish for Google Earth. Worst college roomate in the history of the world. Threatened to assault roomates with Snapple, comforters up one's colon, and a ferocious beard. Enjoys latching, [pissing off] all, treats Nats like she is his mother, and likes Sean (gay by May). Represented by the hand gesture called ""The Awkward Lumberjack""; it is done by motioning your hands like you are chopping wood with an axe. [Closet racist]. Leaves nail clippings and hair trimmings in sink. Refuses to wash sheets for months. Vertigo five feet off the ground. Will only sleep with a girl if bed is on ground and partner is inebriated. Thinks Josh is a facist. Believes that rape has [nothing to do] with sex. Likes to countdown from ten. Draws lines and finds glitches on Google Earth. Fluent in the Elvish language. Valiantly defends Little Blizzaard ""Gustav."" Sexual fantasies include role play with Lord of the Rings, biting, pirates. Is profoundly obsessed with Nicole. Refuses to wash his hands after relieving himself. Can't sleep in the presense of desk lamps. Overhead light must go out at 11. Eats inconcievably slowly. Has a fetish for authority. Insinuates himself into every [conversation]. Frequents gay bars while utterly sober. Arranges the various plaid shirts he owns by which day of the week to be worn. Routinely spends more time in the bathroom than three [high maintenance] females do in a day.","UrbanDictionary","en","US","creeperzach"
"E.Y.M.P.","[Eat] [Your Mom's Pussy].","UrbanDictionary","en","US","eymp"
"jizzmic","When [something] is so [goddamn] incredibly awesome you [physically] jizz yourself.","UrbanDictionary","en","US","jizzmic"
"masturbate","[the process] of [pleasing] yourself [sexually].","UrbanDictionary","en","US","masturbate"
"attituealicious","A [supreme] bitchy [attitude] for no [apparent] reason.","UrbanDictionary","en","US","attituealicious"
"Coldplayed","Verb. To have your [affair] [exposed] in an [extremely] public manner.","UrbanDictionary","en","US","coldplayed"
"Amagibne","A [failed] [attempt] at [typing] 'Imagine'.","UrbanDictionary","en","US","amagibne"
"niggadle","[a nigga] skidaddling","UrbanDictionary","en","US","niggadle"
"Ander","A being of [light]","UrbanDictionary","en","US","ander"
"Cheerleading A Beer","[Opening] a Beer or Alcholic [Beverage] and [leaving] it Unoccupied and not Empty.","UrbanDictionary","en","US","cheerleadingabeer"
"Swag Coordination","A [double meaning]; Being able to [coordinate] a swaggy outfit and/or the act of [creating] a swagful aura through your style, your walk, your persona and your outfit.","UrbanDictionary","en","US","swagcoordination"
"swaaneer","Swaaneer, a person who’s swag levels are [unmatched], a term for legends and trills, A person who is “Swaaneer” always delivers and never [disappoints] in [whatever] they do","UrbanDictionary","en","US","swaaneer"
"Back on the tools","[Returning] to being single after a small amount of time in a [relationship]. Returned to having to rely on [masturbation] for relief again.","UrbanDictionary","en","US","backonthetools"
"suleimy","Suleimy is a young talented little girl. She was featured in the movie series, ""Wallace And Gromit"" as she played the role as a sheep. She farts A TON. She was training at a Russia owned business called, ""Misha and James Mafia."" As she faced many years of bootcamp on ROBLOX. Now lets get into the details.. Suleimy has a ROCKY [relationship status]. While her type might be short men with perms those aren't [the only thing] breaking her heart.. She was ""on and off"" with this Remi boy for 8 months, and [the thing is].. THEY WERENT EVEN DATING! Uh oh, tragic. Although her dick may be small, her heart is big (like my co-). She has had many [relationships]! She even dated the world famous RAPPER, SINGER, ACTOR, THERAPIST, AND vocalist, Ju$ki. They dated ATLEAST 20 times in the span of their lives. They lived happily ever ALMOST after on a hill near a village in California but then Ju$ki faced tragic injuries when Suleimy became.... Psycho (and homosexual..). Suleimy soonly traveled away far to Donkeys village to meet Shrek and find her third eye. On Decemeber 25th 4BC, her eye opened. Fun fact! Thats when the dinosaurs died. The world crumbles and rumbles when she farts (Its quite smelly and scary) Anyways, Suleimy was the first man to invent MINIONS and FART GUNS. (How creative!) She also is immortal; many people have tried and failed trying to assign Suleimy Edecardo The Third.","UrbanDictionary","en","US","suleimy"
"Sukjinder","An [Indian] gay-bender dude, who [sweats] on any game he [plays].","UrbanDictionary","en","US","sukjinder"
"idc.lunar","One of [the best anime] TikTokers out there, He carries anime TikTok besides legsopenforshinra, tempestius, ok.an1m3_w33b0 and ____pan. idc.lunar is a man who has never missed once. His [favorite anime] is Bleach and he loves all of his mutuals and [followers].","UrbanDictionary","en","US","idclunar"
"df","- Da Fuck Used [express] [surprise] or [confusion].","UrbanDictionary","en","US","df"
"fifth grade","A group of prepubescent kids who think they are 30 because they are on top of the [elementary school] and curse every sentence in public or in secret (cause [elementary school] is full of snitches) and try to be ""swaggy"" and also 5th grade patrols are the worst cause they think that just because they stand in a stupid hallway telling people to walk means that they are cooler then everyone else then report people for no reason and boss others around and try to act tough and lie about doing ""manly"" stuff like playing rated m games and owning a gun cause they think they are all grown up and big people even though they will go to middle school only to get shitstomped by 7th and [8th graders] and get beaten up. To any 5th grader going to middle school, have fun getting raped (:","UrbanDictionary","en","US","fifthgrade"
"Gold Digger","One who [sleeps] with [your brother] in [order] to get your families money","UrbanDictionary","en","US","golddigger"
"censure","A word used by [legislative] and bureaucratic bodies to [metaphorically] [give the finger].","UrbanDictionary","en","US","censure"
"Radiohead Moment","[When you] [attempt] to [blackpill]/groom a child thorugh the messaging platform known as discord.","UrbanDictionary","en","US","radioheadmoment"
"Shit-delete","In [Microsoft] Outlook, the act of permanently deleting (Shift+Delete) a work email that is so lame in [regards] to tasking or grammar that [it doesn't] even merit being read or acknowledged.","UrbanDictionary","en","US","shitdelete"
"hedge","A verb, meaning to disappear when things start to get [interesting], esp. at a party or gathering at which illegal drugs are [about to be] consumed. It is crucial that the hedger has expressed interest in partaking in drug [consumption] before disappearing for hedging to have taken place.","UrbanDictionary","en","US","hedge"
"Bitch stare","A look usually given by girls to other girls to [intimidate]. Girls that do this can be described as a [bitch face]. You look right [up and down] them and then look into their eyes like ¬_¬ and then usually walk off.","UrbanDictionary","en","US","bitchstare"
"Chloe","[Ham] [mayo] [fanny]","UrbanDictionary","en","US","chloe"
"zoe martin","[litty] [lit lit]","UrbanDictionary","en","US","zoemartin"
"Elizabeth","E•lizz•abeth  A person who love romantic but never gets it themselves,[beautiful woman] but don’t see it,many boys are attracted to them but never tell her,she always tries her best and put others first but no one see they just see the bad in her.She always want to put a smile on everyone but sometimes they laugh at her.She always feels alone,feels [embarrassed] about body and own self,thinks everyone is talking bad about her where ever she is.She is a [closed book] you can’t read but is filled with tears","UrbanDictionary","en","US","elizabeth"
"Haddad","[Behaviour] that is [legitimate] or [valid].","UrbanDictionary","en","US","haddad"
"Bitch","[Chrissa]","UrbanDictionary","en","US","bitch"
"# top water jig","What one nigger uses to “lure” another nigger at [the edge] of [the bank] to [get in the water] for their annual bath","UrbanDictionary","en","US","topwaterjig"
"Fraud","Fraud is someone who is an overrated af // considered much [better than] they really are by most people.  Most commonly used to describe PSG footballer [Kylian Mbappe] from [the farmers league].  People comparing him to top players like Ronaldo and Messi because he scores tap ins, but hasn't won any major silverware except the Farmers Title, Farmers Cup and was carried by his national team to a World Cup trophy in 2018  Fraud and Mbappe mean the same thing, so basically if you call someone an Mbappe you're calling them a fraud.","UrbanDictionary","en","US","fraud"
"Alabama Thesaurus","[The only] [thesaurus] where Cousin and Wife are [synonyms].","UrbanDictionary","en","US","alabamathesaurus"
"paulsboro high school","Paulsboro High School is a place where a bunch of [dumbasses] go. It’s full of ratchet [hot cheeto girls] that think their on top. All the boys are the chill and most fun to be around. But most of [the girls] are just full on ugly and junkies.","UrbanDictionary","en","US","paulsborohighschool"
"pop tart","(1)a [pussy ass nigga], whose sweet [on the outside] but soft in the middle. (2)delicious treat [in the morning]","UrbanDictionary","en","US","poptart"
"Sack chasing dirty butt","Sack [chasing] [dirty butt] a hoe that does sexual favors for dope and follows the [dope man] around","UrbanDictionary","en","US","sackchasingdirtybutt"
"boxed","Presented with an [error message] on a [computer].","UrbanDictionary","en","US","boxed"
"crumpetsontoast","[a loser] [whose] name is Crumpetsontoast on [xbox]","UrbanDictionary","en","US","crumpetsontoast"
"mfurtado0937","The [stupidest] [username] ever, but Will [never change] it  -Marianne F.","UrbanDictionary","en","US","mfurtado0937"
"Whitten","A smart, funny, nice, [Christian] guy that loves to watch movies, eat, and be [with friends]. He loves to sing, act, and just be on [the stage] in general. Finds joy from helping others.","UrbanDictionary","en","US","whitten"
"sevgin","A person called Sevgin is [mysterious], he is good at art, is [romantic] and has a big cock [according to] women's experiences","UrbanDictionary","en","US","sevgin"
"Pande","People called by this [username] are [usually] Gods among humans, you can also call them [Gigachad]","UrbanDictionary","en","US","pande"
"Pulling a trump","When someone clearly does not know when to put their foot in their mouth and says things thay are going spark [International] debates. [Possibly] starting [World War 3]","UrbanDictionary","en","US","pullingatrump"
"blow the nose","The [male] [version] of [masturbation]","UrbanDictionary","en","US","blowthenose"
"marlborough","Butch, lesbian, and trashy private school girls who wear the worst clothes and have no real lives. It is home to some of the ugliest girls on [the face of the earth]. Sparkly eyeshadow is the norm and platform shoes are common. Any guy i have ever met in los angeles knows that marlborough is full of fat and obnoxious dykes. What guy would ever go for [something like that]?? Not to mention the fact that marlborough is located in the ghetto. In stark contrast stands Marymount high school located on sunset blvd right in the posh Bel-Air. Marymount's soccer field is even the Bel-Air country club. Marymount's campus has manicured lawns and beautiful mediterranian [architecture]...what does marlborough have? they have nothing but their books and their dildos because they can't get any.","UrbanDictionary","en","US","marlborough"
"Ajjaj","An [expression] owned by [Márton] [Balogh]","UrbanDictionary","en","US","ajjaj"
"trumpettruth","A word created by a follower of POTUS Donald J Trump to [compensation] for a lack of education and entered into the [Urban Dictionary] as proof of [authenticity].","UrbanDictionary","en","US","trumpettruth"
"Phaa","She is a [wonderful] and kind and soft human who is loving and loves to love. She is short and [adorable] and resembles a young [tony stark].","UrbanDictionary","en","US","phaa"
"aphidos","A very pog [minecraft player] on tiktok [twitch] and [youtube]!","UrbanDictionary","en","US","aphidos"
"eventhorizon505","big [stupid onion] [eating] [larper]","UrbanDictionary","en","US","eventhorizon505"
"VSP","Very Serious Person  A derisive attribution used to mockingly describe persons deemed sincere or trustworthy by popular media narratives, even when their opinions or positions may be factually in doubt.  Typically used in describing [politicians], news media, editorial writers, etc.  Coined by [economist] Paul Krugman in characterizing [Washington] Post (WaPo) contributors as ill-informed or malicious in their approach to economic policy.","UrbanDictionary","en","US","vsp"
"triodecal","[Pronunciation]: /ˌtraɪ.oʊˈdɛk.əl/ [Definition]: 1.	The [ordinal] number symbol: 30. 2.	The position in a sequence following the twenty-ninth element; the third (trial) in the fourth (quadal) decade (30s series). 3.	Pertaining to a group, set, or division of thirty (triodeco) parts or members; a month's standard duration. 4.	Denoting a complete unit of thirty (triodeco) days, or a standard temporal division in calendars and scheduling.  Significance: • It defines the thirtieth (triodecal) position with systematic regularity and clarity. • It emphasizes monthly cycles, tricenary groupings, and thirty-part divisions. • It identifies standard month lengths, tricennial periods, and systematic thirty-unit sets. • It avoids irregular and ambiguous pronunciations [associated] with Germanic numeric forms. • It simplifies [expressions] of order in calendrical, temporal, and organizational contexts. • It improves precision in scheduling, historical periods, and quantitative systems involving the number thirty (triodeco). • It replaces Scandinavian-Germanic, Non-American, foreign, and [Anglo-Saxon] terms with a consistent Latinized ordinal form.  Related Ordinal Numbers: decal (10th), duodecal (20th), triodecal (30th), quadecal (40th), quintodecal (50th), sextodecal (60th), septodecal (70th), octodecal (80th), nonodecal (90th) Cardinal References: deco (10), duodeco (20), triodeco (30), quadeco (40), quintodeco (50), sextodeco (60), septodeco (70), octodeco (80), nonodeco (90)","UrbanDictionary","en","US","triodecal"
"Rap","[The Worst] [genre] of [music]","UrbanDictionary","en","US","rap"
"Rom-crem","A [romantic comedy] in [which one] of the [lovers] dies.","UrbanDictionary","en","US","romcrem"
"narcissistic verbal diarrhea","1. When someone waits for their chance to talk about themselves.  2. When someone takes a [conversation] in a different direction so they can talk about themselves.  3. When someone takes a [conversation] backwards so they can add [something else] about themselves.","UrbanDictionary","en","US","narcissisticverbaldiarrhea"
"hexahectaenneacontakaiheptagon","A shape with 697 sides. Commonly used in [mathematics] or [geography] when describing a shape or a [landmass].","UrbanDictionary","en","US","hexahectaenneacontakaiheptagon"
"OFF-Brand","Saying [something] thats not direct or [acting] in a [particular] way","UrbanDictionary","en","US","offbrand"
"Coon Grease","1. A word that is used to describe a negros greasy oiled hair 2. [African American] hair which can cause one to slip [on the floor] like a banana peel. when you come accros coon grease please place a caution greasy floor sign up [on the floor] so your fellow caucasians dont break they self!","UrbanDictionary","en","US","coongrease"
"Patrick","Patrick would be the type of guy to annoy you [most of the time] while being [your best friend]. It would be a love-hate [friendship] but you’d grow out of the hate part pretty quickly. You would spend most of your days being with Patrick and enjoy them while they last.","UrbanDictionary","en","US","patrick"
"Mamaternity Leave","the period of time when a [brother] of [the mother] (mama) temporarily leaves his job to help his sister and look [after the] baby","UrbanDictionary","en","US","mamaternityleave"
"Baba","Baba is [another word] for Poo it is very [popular] and [everyone] should take it on board!","UrbanDictionary","en","US","baba"
"Dexmethylphenidate","The [scientific] word for [Focalin]; an ADHD [medication]","UrbanDictionary","en","US","dexmethylphenidate"
"juicy jiggler","is a nice [juicy ass] that [jiggle] when a woman walk or shake [her ass]","UrbanDictionary","en","US","juicyjiggler"
"Transformer","A transformer refers to a man or woman who has decided to change their gender that they were intended to have/born with; in [the process] of or has [completed] their [transitioning].","UrbanDictionary","en","US","transformer"
"Morter Forker","[E-Stalker], loser, goof who takes [punches] [in the face]","UrbanDictionary","en","US","morterforker"
"jericho","It is a modern day [Palestinian] city in the Occupied West Bank. It is considered the oldest city in the world being well over 11,000 years old. It contains many important sites of historical and religious significance such as the mount of [temptations] where [Jesus Christ] isolated himself for 40 days and was tempted by satan. Jericho is in close proximity to the Dead Sea which is the lowest point on earth. Jericho has a large population of people of African origin, it is also very flat which makes getting around on bicycles so popular there. The majority of the population are muslim but there is a small Christian minority as well. Jericho is known for its fruits such as oranges, dates, mangos and bananas.","UrbanDictionary","en","US","jericho"
"Fake wiener","The [forbidden] sign used to [signify] a [mating call] to all memers","UrbanDictionary","en","US","fakewiener"
"awper","[awesome] and [hyper] combined","UrbanDictionary","en","US","awper"
"slapped by the rainbow","it is when you jizz in your hand and grab a hand full of [skittles] n slap someone [in the face] [with it]","UrbanDictionary","en","US","slappedbytherainbow"
"Meshwa","[The avatar] of [Goddess] Parvatiji. The one whose beauty is [unparalleled], The one who glows with Grace, Wife of Mahavir.","UrbanDictionary","en","US","meshwa"
"Musked","when you're about to snort [coke out] of a guys [asshole] but he [farts]","UrbanDictionary","en","US","musked"
"Chudtist","An autistic [conservative] republican. Someone who is either racist, sexist, homophobic, [transphobic], [xenophobic], fascist, a boot licker or all of the above.","UrbanDictionary","en","US","chudtist"
"Buckingham Clench","When you feel as if you are about to break wind and just as you begin to attempt to pass it, you feel a sudden moist feeling on the edge of your [butt cheeks]. At this point you come to realize this may not be what you first thought it was and not wanting to turn the back of your legs into a [chocolate waterfall], You snap at attention. [Immediately] clenching your buttcheeks tightly together to avoid any spillage and keeping a firm rigid stance, like a Buckingham Guard. With a cold sweat beginning to form and the feeling of a sharp stabbing sensation in your lower abdomen, you must continue to stay in this position until the pain subsides and you can get to a toilet.","UrbanDictionary","en","US","buckinghamclench"
"Hidden Armadillo","The [ordinary] looking type of guy that manages to hook up with unbelievably [attractive] women due to his enormous wang. (Incidentally, [armadillos] have the largest penises relative to their body size)","UrbanDictionary","en","US","hiddenarmadillo"
"Sociopath","An [individual] with the same mentality as the goverment in the country he or she lives in; or in general the shape and behaviour of institutions of control and power aroung the world regardless of what 'flag' they present themselves with as [religions], nations or 'unions' - makes his/hers own rules and concepts of right or wrong instead of accepting what the institution of control the [individual] lives under presents as behaviour he or she must follow.  Allt the traits associated with 'sociopaths' are accepted and always present in goverments or successful companies; but in individuals we can afford to despise and fear them with these traits since they are individuals and not a network that can be defined as an identifiable 'object' ; while with goverments we handle it by developing [stockholm syndrome] and telling ourselves the goverment is on our side. Often projecting the traits of goverment institutions on people psychiatry call 'Antisocial'; making criminals personilize the 'essence' of the system in control - as a way of escaping our real situation as it is in the 'civilized' world.","UrbanDictionary","en","US","sociopath"
"mbd","Minor brain [dysfunction]. Mbd was what you called [persons] (often childs) that had adhd or add before it had its [current] name.","UrbanDictionary","en","US","mbd"
"fizzyleo","fizzyleo is [the best] [grandma] ever even though we are always beefing they’re still a really [nice person] and they make amazing edits !! they’re also always bullying me smh.","UrbanDictionary","en","US","fizzyleo"
"and such","What you say to refer to other [things of that nature], but [the person] you're saying it to gets [the point] and doesn't need a whole long list of such things. Unless they're a Karen and refuse to comply with said things.","UrbanDictionary","en","US","andsuch"
"Hugo","A [huge] [simp].","UrbanDictionary","en","US","hugo"
"փ","[What is this] charecter","UrbanDictionary","en","US",""
"postbaccalaureate","A state of being; to continue on at a college campus [typically] studying science and/or [psychology], and characterizing his or her [introspective]. Avoiding reality at all costs.","UrbanDictionary","en","US","postbaccalaureate"
"Bermondsey bomb","An alcoholic beverage whereby the two [ingredients] of a Jaeger bomb are switched i.e. a shot of Red Bull and a glass of Jaegermeister. The drink was founded by graduates of the London School of Economics in Bermondsey, London (hence the name), and is being increasingly recognised in pubs, bars and club's across the UK and Europe.  The drink is renowned for its high-alcoholic content (owing to skewed proportions of spirit and mixer) and is commonly used by drinkers to achieve a faster and more [effective] rate of [inebriation].","UrbanDictionary","en","US","bermondseybomb"
"tague","Tague,  [derogatory term] to describe Catholics in N. [Ireland]","UrbanDictionary","en","US","tague"
"shpilkis","{Transliteration from [the original] Yiddish}   Noun: To 'bounce off the walls', nervous energy without purpose. In English - to be 'on pins and needles'. Common in kids when they have had too much sugar, or adults too much caffeine {or any [combination] of same}. Kids with ADD or ADHD before they are [medicated].","UrbanDictionary","en","US","shpilkis"
"Elon Musk","[The death] of Texas.  The final nail [in the coffin] for the [Lone Star] State.","UrbanDictionary","en","US","elonmusk"
"Rambo","1.)To [take on] an army solo  2.)To not [wear] any [underwear]","UrbanDictionary","en","US","rambo"
"gorpster","A gorpster is [a person] who bites at their own farts in their dirty bath-water while using their cell-phone (if they haven't been de-platformed), to down-vote another guy's [urban dictionary] posts that are a [memorial] tribute to his sweet beloved dog.","UrbanDictionary","en","US","gorpster"
"door","an [entrance] to a [structure] [usually] used for people and or their pets to enter. it can open and close.","UrbanDictionary","en","US","door"
"Overwatch freak","Kids that love [overwatch] and can’t [stop playing] it they will play it [no matter what happens] to the game. They can play all of the hero’s and get play of the game every game they are try hards and anime lovers.","UrbanDictionary","en","US","overwatchfreak"
